ubicacion_longitud,ubicacion_latitud,direccion,capacidad_personas_max,descripcion,renta_mensual,dia_deposito,fecha_inicio,dias_renta
6.5706307,72.665627,53 Darwin Terrace,13,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",81634,9,25/02/2019,49
44.4560001,38.2324728,8 Bellgrove Alley,8,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,8960,30,11/01/2019,4
30.6581063,68.1628205,4 Derek Place,16,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,40469,10,02/10/2019,53
26.3578801,46.8203255,61224 Sutherland Park,12,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2660,5,22/08/2019,21
75.6956501,50.5576703,45 Mosinee Junction,2,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",7856,9,22/01/2019,1
95.8849702,67.4359036,3 Vera Place,14,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",6429,19,24/10/2019,27
39.3211263,18.2400993,9043 David Plaza,5,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,48589,8,22/05/2019,28
60.5579005,16.0535611,0 Kipling Center,1,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",11285,3,29/03/2019,40
64.409088,91.9689233,31504 Briar Crest Lane,9,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,65657,15,12/04/2019,31
26.6305671,36.7750368,0557 Amoth Street,5,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,70718,2,08/07/2019,1
73.251865,42.1151385,41826 Mockingbird Terrace,16,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",52509,18,26/05/2019,39
93.7614358,33.4877125,725 Sunbrook Alley,16,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",31132,27,11/08/2019,32
88.6636554,23.4972558,96529 Waubesa Avenue,14,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,96242,28,25/07/2019,35
97.6324153,31.1613996,9 Pankratz Road,6,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",67077,14,14/09/2019,41
23.9611539,91.3834969,7049 Hoepker Parkway,19,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,92308,19,05/08/2019,17
97.9513297,14.8972802,16 Anniversary Point,10,Sed ante. Vivamus tortor. Duis mattis egestas metus.,77295,25,16/09/2019,20
19.4001351,43.1742027,675 Mallard Place,16,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",41104,27,04/11/2019,6
13.6896636,11.3716998,45 Superior Lane,3,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",72040,17,12/02/2019,4
11.0010079,79.558803,00809 Arizona Road,2,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,98453,29,27/10/2019,54
70.5799738,95.5743951,52608 Cascade Place,15,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",47119,23,01/01/2019,38
33.456208,81.9851171,2058 Corscot Crossing,20,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,60942,3,05/03/2019,48
80.7523359,43.257567,348 Tennessee Circle,6,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",33682,18,25/02/2019,30
26.7938708,90.3719943,7217 Milwaukee Junction,9,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,,,,
24.1193692,20.2418656,2 Haas Way,19,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,31722,3,19/08/2019,1
24.3425476,84.9424748,697 Glacier Hill Court,14,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",46015,31,09/06/2019,42
53.7671177,13.6582777,5 Surrey Crossing,4,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,11452,1,12/06/2019,47
35.8130179,63.4752331,1 Holy Cross Place,15,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",41787,13,30/11/2019,8
74.5694878,51.7719644,0 Hudson Junction,2,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",78512,7,08/08/2019,44
20.2338785,48.0879493,58 Johnson Lane,2,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",46141,12,22/06/2019,10
58.5271112,11.8143629,71 Pepper Wood Terrace,1,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,61264,26,27/03/2019,32
82.5035553,14.6060171,675 Green Drive,16,Sed ante. Vivamus tortor. Duis mattis egestas metus.,44420,4,27/04/2019,13
9.620528,57.6120459,535 Declaration Junction,7,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",96065,14,23/07/2019,37
46.633203,7.4848731,4 Shopko Park,16,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",78205,15,08/02/2019,7
28.1795973,67.6332323,5759 Morrow Way,4,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,20400,8,04/12/2019,32
3.3929637,72.5005334,5 Vera Drive,1,In congue. Etiam justo. Etiam pretium iaculis justo.,32342,3,06/02/2019,33
1.8058094,18.0168137,681 Scott Drive,13,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,80019,25,02/12/2019,36
46.2585272,9.5298351,5847 Fairfield Plaza,4,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",17351,30,28/09/2019,40
8.7826879,14.1801545,7502 North Junction,14,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",43770,20,17/03/2019,9
10.395682,32.458938,4 Forest Dale Terrace,9,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",7200,8,11/11/2019,53
41.7447763,21.5119556,9 Stang Drive,18,Sed ante. Vivamus tortor. Duis mattis egestas metus.,28149,29,27/03/2019,51
67.3617358,28.3402991,8 Gulseth Center,14,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,59748,6,18/07/2019,52
31.768329,13.8383737,72 Superior Court,7,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",27451,7,09/04/2019,44
10.5779022,93.4533964,85 Portage Trail,3,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,36117,3,29/09/2019,15
50.5428271,68.6701626,714 Vernon Hill,10,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,59255,17,06/09/2019,51
64.1774054,56.473519,01 Rieder Alley,14,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",55718,24,06/03/2019,52
54.0754744,5.5635915,2512 Onsgard Park,20,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",15342,23,21/06/2019,51
30.0467729,12.6666235,28 Sullivan Way,7,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,,,,
23.2180783,21.8609124,02 Acker Hill,8,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",68432,19,09/06/2019,41
20.6628227,77.89819,8249 Buell Plaza,8,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,74038,22,03/10/2019,23
28.7531752,57.553849,3 Sundown Plaza,1,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,20812,25,01/08/2019,8
34.1586772,95.7332666,0190 Petterle Way,19,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,69977,17,24/06/2019,8
33.2091873,56.5070945,88141 American Place,18,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",68702,10,09/09/2019,13
92.7500596,90.7846052,4 Sugar Hill,17,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,69850,14,21/11/2019,44
76.8804344,28.0330646,02097 Fulton Point,19,Phasellus in felis. Donec semper sapien a libero. Nam dui.,57745,7,03/10/2019,16
68.4259234,58.6250507,53766 Vera Avenue,16,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,48835,8,23/03/2019,31
46.4939981,46.7233725,86 Bunting Plaza,6,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",7493,9,05/08/2019,36
71.7139614,85.6889199,71537 Tennyson Hill,2,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",72119,8,16/05/2019,54
85.6280101,82.3500064,5 Dovetail Point,11,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,35497,20,05/07/2019,21
29.2652362,13.9719856,33 Golf Plaza,2,In congue. Etiam justo. Etiam pretium iaculis justo.,73632,8,03/04/2019,11
70.075369,22.0775273,91955 Barby Center,19,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",74978,10,29/12/2018,43
5.8121668,31.4031291,449 Fremont Circle,3,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,6763,26,23/07/2019,46
14.9446012,74.0050693,30479 Delaware Crossing,5,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",34712,9,27/08/2019,29
88.5869347,5.7903649,09894 Bashford Point,20,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",19101,24,04/01/2019,2
28.8091202,21.3631897,5695 Delladonna Point,12,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,,,,
74.2964333,89.3879944,7 Toban Circle,20,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,58615,5,22/07/2019,42
57.2517532,70.7767989,81783 Blue Bill Park Junction,6,Fusce consequat. Nulla nisl. Nunc nisl.,15895,31,22/08/2019,58
60.079553,23.9199574,80 Declaration Trail,6,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,94278,11,13/08/2019,25
97.9605892,85.2043068,5580 Village Drive,20,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",23218,11,04/03/2019,46
40.0269373,21.5856732,14616 Magdeline Lane,13,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,56438,25,14/09/2019,37
85.557871,80.18924,046 Eastlawn Crossing,15,In congue. Etiam justo. Etiam pretium iaculis justo.,,,,
3.8948958,15.1010303,22 Pennsylvania Parkway,20,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",48627,14,11/06/2019,45
90.0025118,68.8370049,8876 Loomis Pass,14,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",12301,20,08/09/2019,55
26.7235114,48.7296559,9994 Elmside Court,16,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,13943,11,04/12/2019,19
46.8539294,71.5602164,66 Tennessee Place,16,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",12908,7,17/01/2019,16
50.373053,75.4072315,632 Sage Place,11,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",91360,19,17/10/2019,59
76.0805573,10.7747263,5228 Express Hill,15,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,75319,11,08/12/2019,36
73.4470593,71.9972592,6 Iowa Trail,2,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,64761,13,13/04/2019,4
64.46715,39.4212223,60978 Moland Junction,17,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,38354,8,06/04/2019,15
51.7851788,61.3832811,99878 Drewry Junction,9,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,38577,25,15/08/2019,60
92.7334387,21.99495,4431 1st Lane,10,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,52002,7,29/04/2019,31
10.2536021,64.0035886,84 Mifflin Way,19,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",9098,17,03/10/2019,57
43.2692747,52.3556341,73 Lukken Trail,12,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,96554,5,09/06/2019,50
79.2968666,58.2817196,950 2nd Court,5,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",29673,22,14/07/2019,20
68.4823899,4.3767278,818 Upham Road,6,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",6491,27,28/09/2019,15
31.7275044,25.7188817,967 Sage Avenue,17,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,46501,11,08/12/2019,15
8.639231,82.2491197,496 Messerschmidt Lane,15,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,59650,20,20/02/2019,16
67.5221694,14.9606926,99307 Lotheville Alley,16,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",58165,15,17/06/2019,41
19.2501248,54.6696512,43612 High Crossing Park,18,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",94856,30,14/07/2019,29
91.8368434,63.6828303,569 Fuller Junction,11,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",19347,28,03/03/2019,10
78.0769388,42.5698458,0880 Norway Maple Junction,6,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",12623,31,11/01/2019,22
71.0287115,9.7259872,17037 Stang Parkway,1,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,23766,4,26/03/2019,51
58.9866159,5.4729114,01007 Banding Pass,7,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",30784,4,05/11/2019,23
40.0633491,25.8380884,47 Marcy Junction,12,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,75768,4,30/11/2019,39
7.9875436,12.4227575,16 Towne Road,15,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,53547,9,02/02/2019,59
89.9079732,42.2722742,50238 Longview Street,10,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",56962,18,21/04/2019,10
19.6763933,68.4108672,9 Prairie Rose Park,13,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",23809,11,28/04/2019,15
99.4410292,67.110137,6561 Summerview Drive,8,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",40292,14,23/10/2019,2
